uniq..i..
you
the
to
i
a
and
is
that
it
mr
in
of
what
for
oh
all
well
children
have
now
on
your
this
we
hat
me
okay
just
are
dont
im
be
so
was
not
about
do
get
with
but
can
no
thats
know
go
right
its
like
were
eric
lets
my
who
there
youre
our
see
uh
up
going
take
cant
he
yeah
at
gonna
out
here
they
did
good
little
think
from
how
if
want
as
come
say
some
very
hell
why
yes
kids
kyle
will
people
tell
hey
really
their
then
back
class
new
theres
time
one
us
look
more
school
because
could
gay
ill
ive
please
slave
sure
when
where
down
got
guess
has
never
or
put
seats
them
today
alright
ass
better
fag
her
jesus
need
those
too
wait
again
an
any
boys
give
had
kenny
over
stanley
twig
great
his
stop
thank
been
by
does
make
mean
would
doing
first
god
him
isnt
park
these
wanna
way
sorry
south
teacher
being
didnt
even
keep
last
stupid
try
year
attention
before
christmas
off
read
still
theyre
thought
two
around
butters
dad
filmore
fired
help
hes
huh
own
sexual
she
something
stan
town
wendy
whats
wow
feel
hand
into
job
love
mother
next
shitty
talk
tomorrow
watch
work
another
costume
else
father
fuckin
hear
home
ike
long
must
other
place
should
show
talking
thanks
thing
things
weve
women
anyway
big
boy
call
called
damn
doesnt
face
few
having
hello
lee
left
let
mackey
name
only
parents
principal
side
told
vote
whole
wont
am
bastards
cartman
chef
crap
done
ever
everybody
find
head
homework
kathie
learn
leave
money
nice
paper
pay
problem
questions
said
special
start
teaching
tonight
trying
turn
use
went
woman
write
wrong
youll
ahead
america
anymore
bad
butt
came
child
day
each
enough
every
everyone
five
food
forget
harassment
havent
history
hot
jimbo
life
lot
made
might
morning
much
old
penis
problems
ready
real
remember
report
saying
seven
sit
sleep
straight
talkin
than
thanksgiving
timmy
until
war
welcome
along
anybody
anything
award
balls
bitch
book
bus
cause
clear
coming
course
excuse
family
flora
gifford
hi
hope
id
kill
kind
knew
live
lives
makes
million
minute
national
night
nothing
person
planetarium
play
question
second
shit
shut
six
song
teach
third
through
together
understand
world
young
youve
always
answer
baby
barnaby
bastard
bet
board
bring
canned
christ
clyde
comes
couldnt
country
different
drive
eat
evil
friend
getting
goddamnit
gone
grade
group
guy
guys
hard
heard
hoh
hold
jenny
kindergarten
man
maybe
mayor
means
men
minutes
miss
mom
mouth
ms
normal
nose
outside
pick
poontang
president
pretty
rich
room
run
sake
seat
slaves
stay
stick
such
suck
tolerate
totally
victoria
vietnam
votes
wanted
which
yet
actually
also
american
anyone
apparently
ask
barbrady
best
between
brother
care
case
condom
counselor
crazy
damien
damnit
die
discuss
dollar
driver
f
fagshitty
fathers
felt
founding
four
free
front
gary
genius
girls
goin
grand
guest
house
idea
important
joining
jones
kid
late
lawyers
lesson
mark
math
matter
merry
middle
mmm
news
novel
office
officer
partner
point
power
project
puppet
quiet
rats
richers
save
season
seem
seen
simple
since
sometimes
son
sound
speeds
star
started
student
students
talked
teachers
television
terrance
though
took
tried
trip
true
tweek
under
wants
wasnt
whore
word
wrote
x
y
years
