X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138,X139,X140,X141,X142,X143,X144,X145,X146,X147,X148,X149,X150,X151,X152,X153,X154,X155,X156,X157,X158,X159,X160,X161,X162,X163,X164,X165,X166,X167,X168,X169,X170,X171,X172,X173,X174,X175,X176,X177,X178,X179,X180,X181,X182,X183,X184,X185,X186,X187,X188,X189
0,0,0,0,0.008620689655172414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15517241379310345,0.017241379310344827,0,0,0,0,0.1206896551724138,0,0,0.008620689655172414,0,0,0.05172413793103448,0.04310344827586207,0,0,0,0,0.008620689655172414,0,0,0,0,0,0,0,0,0.02586206896551724,0.008620689655172414,0,0,0.04310344827586207,0,0.008620689655172414,0.05172413793103448,0.02586206896551724,0,0.11206896551724138,0.04310344827586207,0,0,0.017241379310344827,0,0,0,0,0,0,0,0,0,0,0.008620689655172414,0,0,0,0,0,0,0,0.017241379310344827,0.02586206896551724,0,0,0,0,0,0,0,0,0.02586206896551724,0,0,0,0.034482758620689655,0,0,0,0,0,0,0,0,0,0.017241379310344827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482758620689655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008620689655172414,0,0,0,0,0,0,0,0,0,0,0.008620689655172414,0,0,0,0.034482758620689655,0,0,0,0,0,0.008620689655172414,0,0,0,0.008620689655172414,0,0,0,0,0,0,0,0,0.017241379310344827,0,0,0
0,0.011111111111111112,0.011111111111111112,0,0.011111111111111112,0,0.011111111111111112,0,0.011111111111111112,0,0,0.011111111111111112,0,0,0,0.34444444444444444,0,0,0,0.011111111111111112,0,0,0,0.011111111111111112,0.03333333333333333,0.022222222222222223,0,0,0,0,0,0,0,0,0.03333333333333333,0,0,0.011111111111111112,0.022222222222222223,0,0.011111111111111112,0,0,0,0,0,0,0.011111111111111112,0,0.022222222222222223,0.022222222222222223,0.011111111111111112,0,0.03333333333333333,0,0,0.03333333333333333,0.011111111111111112,0.011111111111111112,0.011111111111111112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011111111111111112,0,0,0,0,0,0,0,0.011111111111111112,0.011111111111111112,0.044444444444444446,0,0,0.022222222222222223,0.011111111111111112,0,0,0,0.044444444444444446,0,0,0.011111111111111112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011111111111111112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011111111111111112,0,0,0,0,0,0,0,0,0,0,0,0,0.011111111111111112,0,0,0,0,0,0,0,0,0,0,0.011111111111111112,0,0,0,0.011111111111111112,0,0,0,0.022222222222222223,0,0,0,0.011111111111111112,0.011111111111111112,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08571428571428572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0.02857142857142857,0,0.11428571428571428,0,0,0,0,0,0,0,0.02857142857142857,0.02857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.20754716981132076,0.018867924528301886,0,0,0.018867924528301886,0,0,0.018867924528301886,0.018867924528301886,0,0.018867924528301886,0.05660377358490566,0.018867924528301886,0.03773584905660377,0.03773584905660377,0,0,0,0,0,0.018867924528301886,0,0.05660377358490566,0.07547169811320754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03773584905660377,0,0,0,0,0,0,0.018867924528301886,0,0,0,0.018867924528301886,0,0,0.018867924528301886,0,0,0.018867924528301886,0,0,0,0,0,0,0,0.018867924528301886,0,0,0,0,0,0.018867924528301886,0.03773584905660377,0,0,0,0,0.03773584905660377,0,0,0,0,0,0,0,0,0.018867924528301886,0,0,0,0,0,0.018867924528301886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05660377358490566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018867924528301886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018867924528301886,0,0,0,0,0,0,0,0,0,0.018867924528301886,0,0,0,0,0,0,0.018867924528301886
0.06382978723404255,0.0425531914893617,0.40425531914893614,0,0,0,0,0,0.02127659574468085,0.0425531914893617,0.02127659574468085,0.02127659574468085,0.02127659574468085,0,0.02127659574468085,0,0,0,0.02127659574468085,0,0,0,0,0.02127659574468085,0.0425531914893617,0,0,0,0,0.1276595744680851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425531914893617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06382978723404255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02127659574468085,0,0,0,0,0
0,0.0425531914893617,0.1276595744680851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02127659574468085,0,0,0.1276595744680851,0,0.19148936170212766,0,0,0,0,0.0425531914893617,0.02127659574468085,0,0.02127659574468085,0,0,0,0,0,0,0,0,0,0.14893617021276595,0,0,0.10638297872340426,0,0,0.0425531914893617,0.02127659574468085,0,0.02127659574468085,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02127659574468085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02127659574468085,0,0,0,0.02127659574468085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23076923076923078,0,0,0,0,0,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0.15384615384615385,0,0,0,0,0,0,0,0,0,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1276595744680851,0.0851063829787234,0,0,0,0,0.0425531914893617,0,0.06382978723404255,0,0,0.02127659574468085,0,0.02127659574468085,0,0,0,0.0425531914893617,0,0,0,0,0,0.0425531914893617,0,0,0.0425531914893617,0,0,0,0,0,0.0425531914893617,0,0,0,0,0,0,0,0,0.02127659574468085,0,0,0,0,0,0,0,0,0,0,0,0.02127659574468085,0,0,0,0,0,0.02127659574468085,0,0,0,0,0,0.02127659574468085,0,0,0.02127659574468085,0.0425531914893617,0,0,0,0,0,0,0,0,0,0.02127659574468085,0,0,0,0.02127659574468085,0,0,0,0,0,0,0,0,0,0,0,0,0.02127659574468085,0,0,0.02127659574468085,0,0,0,0,0,0.02127659574468085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0851063829787234,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02127659574468085,0,0,0,0,0,0,0,0,0.0425531914893617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425531914893617,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02127659574468085,0,0,0,0,0,0,0,0,0,0,0
0.1,0.03333333333333333,0,0,0,0,0,0.06666666666666667,0.16666666666666666,0,0,0.03333333333333333,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06666666666666667,0,0,0,0,0,0,0.03333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03333333333333333,0.03333333333333333,0,0,0,0,0,0,0.03333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03333333333333333,0,0,0.03333333333333333,0,0.03333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03333333333333333,0,0,0,0,0,0,0,0,0.03333333333333333,0,0,0,0.03333333333333333,0.03333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03333333333333333,0,0,0,0,0,0,0,0,0,0,0
0.023809523809523808,0.023809523809523808,0.023809523809523808,0.07142857142857142,0,0,0,0,0.047619047619047616,0,0.16666666666666666,0.023809523809523808,0.023809523809523808,0,0.047619047619047616,0,0.047619047619047616,0,0,0,0,0.21428571428571427,0,0,0,0,0,0,0.023809523809523808,0,0,0,0,0,0,0,0,0,0,0.047619047619047616,0,0,0,0,0,0,0,0,0,0,0,0.023809523809523808,0,0,0.023809523809523808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809523809523808,0,0,0,0,0,0,0,0,0.07142857142857142,0,0,0,0.023809523809523808,0,0,0,0,0,0,0,0.023809523809523808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809523809523808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
