X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138,X139,X140,X141,X142,X143,X144,X145,X146,X147,X148,X149,X150,X151,X152,X153,X154,X155,X156,X157,X158,X159,X160,X161,X162,X163,X164,X165,X166,X167,X168,X169,X170,X171,X172,X173,X174,X175,X176,X177,X178,X179,X180,X181,X182,X183,X184,X185,X186,X187,X188,X189,X190,X191,X192,X193,X194,X195,X196,X197,X198,X199,X200,X201,X202,X203,X204,X205,X206,X207,X208,X209,X210,X211,X212,X213,X214,X215,X216,X217,X218,X219,X220,X221,X222,X223,X224,X225,X226,X227,X228,X229,X230,X231,X232,X233,X234,X235,X236,X237,X238,X239,X240,X241,X242,X243,X244,X245,X246,X247,X248,X249,X250,X251,X252,X253,X254,X255,X256,X257,X258,X259,X260,X261,X262,X263,X264,X265,X266,X267,X268,X269,X270,X271,X272,X273,X274,X275,X276,X277,X278,X279,X280,X281,X282,X283,X284,X285,X286,X287,X288,X289,X290,X291,X292,X293,X294,X295,X296,X297,X298,X299,X300,X301,X302,X303,X304,X305,X306,X307,X308,X309,X310,X311,X312,X313,X314,X315,X316,X317,X318,X319,X320,X321,X322,X323,X324,X325,X326,X327,X328,X329,X330,X331,X332,X333,X334,X335,X336,X337,X338,X339,X340,X341,X342,X343,X344,X345,X346,X347,X348,X349,X350
0.0035460992907801418,0.028368794326241134,0,0,0.010638297872340425,0.010638297872340425,0.0070921985815602835,0.0035460992907801418,0.0035460992907801418,0.0035460992907801418,0.0035460992907801418,0,0,0,0,0,0.014184397163120567,0.05673758865248227,0.0070921985815602835,0,0.01773049645390071,0.024822695035460994,0.0035460992907801418,0.03546099290780142,0.0035460992907801418,0.010638297872340425,0.06028368794326241,0,0.0035460992907801418,0.031914893617021274,0,0,0.0070921985815602835,0,0.01773049645390071,0.0035460992907801418,0,0,0,0.0070921985815602835,0,0,0.0035460992907801418,0.028368794326241134,0.024822695035460994,0.0035460992907801418,0,0.02127659574468085,0.0035460992907801418,0.0035460992907801418,0,0.0035460992907801418,0,0.0070921985815602835,0.0035460992907801418,0,0.02127659574468085,0.031914893617021274,0,0.0070921985815602835,0,0.0425531914893617,0,0,0,0,0,0,0.0035460992907801418,0,0.0070921985815602835,0,0,0.0035460992907801418,0.031914893617021274,0,0,0.0035460992907801418,0,0.0070921985815602835,0.0070921985815602835,0,0,0.0070921985815602835,0.0035460992907801418,0.010638297872340425,0.0070921985815602835,0,0.0070921985815602835,0,0,0,0.010638297872340425,0.0035460992907801418,0,0,0.010638297872340425,0.014184397163120567,0.0035460992907801418,0,0,0,0.01773049645390071,0.0035460992907801418,0,0,0,0.014184397163120567,0,0,0.014184397163120567,0,0.0035460992907801418,0.0070921985815602835,0,0.014184397163120567,0.0035460992907801418,0,0,0,0,0,0,0,0,0,0,0,0.010638297872340425,0.0035460992907801418,0,0,0.010638297872340425,0,0,0.0035460992907801418,0,0.014184397163120567,0,0,0,0,0.010638297872340425,0,0,0,0,0,0.0035460992907801418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0070921985815602835,0,0,0.0035460992907801418,0,0,0,0,0,0,0,0,0.0035460992907801418,0,0.010638297872340425,0,0,0,0,0,0,0,0,0,0,0,0,0.0070921985815602835,0,0.014184397163120567,0,0,0.0035460992907801418,0,0,0,0,0,0,0,0.0070921985815602835,0.0035460992907801418,0,0,0.0035460992907801418,0,0,0,0.0035460992907801418,0,0,0.0035460992907801418,0,0,0,0,0,0,0.0035460992907801418,0,0,0,0,0.010638297872340425,0,0,0,0,0.0035460992907801418,0,0,0,0.0035460992907801418,0,0.0035460992907801418,0.0035460992907801418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035460992907801418,0,0,0,0,0,0.0035460992907801418,0,0,0.0035460992907801418,0,0,0,0,0,0,0,0,0,0,0.0035460992907801418,0,0.010638297872340425,0,0,0,0.0035460992907801418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035460992907801418,0,0,0.0035460992907801418,0,0,0,0,0,0,0,0,0,0.0035460992907801418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.027777777777777776,0,0.07222222222222222,0,0.005555555555555556,0,0.005555555555555556,0,0,0.011111111111111112,0,0.005555555555555556,0,0,0,0,0,0.022222222222222223,0,0.005555555555555556,0,0.07777777777777778,0.027777777777777776,0.005555555555555556,0,0,0.011111111111111112,0.05555555555555555,0,0.05555555555555555,0,0.005555555555555556,0.011111111111111112,0,0.05555555555555555,0,0.08888888888888889,0,0,0.005555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005555555555555556,0,0,0,0,0,0,0,0,0.022222222222222223,0.005555555555555556,0.005555555555555556,0,0,0,0,0,0.027777777777777776,0,0,0,0,0,0,0,0,0,0.005555555555555556,0.022222222222222223,0,0.011111111111111112,0,0,0,0,0,0,0,0,0,0,0.016666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666666666666666,0,0,0.016666666666666666,0.005555555555555556,0,0,0,0,0,0,0,0,0,0.011111111111111112,0.016666666666666666,0,0.011111111111111112,0,0,0,0,0,0,0,0,0,0,0.011111111111111112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022222222222222223,0,0,0,0,0,0.022222222222222223,0,0,0.005555555555555556,0,0,0,0,0,0,0.005555555555555556,0,0,0,0,0,0,0,0,0,0,0.005555555555555556,0,0,0,0.011111111111111112,0,0,0,0,0,0.022222222222222223,0.005555555555555556,0,0,0,0,0,0,0,0.016666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011111111111111112,0,0,0,0,0,0,0.016666666666666666,0,0,0,0,0,0,0.011111111111111112,0,0,0,0,0,0,0,0,0,0,0,0.005555555555555556,0,0,0,0,0,0,0,0,0,0.005555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011111111111111112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005555555555555556,0.011111111111111112,0,0.011111111111111112,0,0,0,0,0,0,0,0,0.005555555555555556,0,0,0,0.005555555555555556,0,0,0.005555555555555556,0,0,0.005555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036585365853658534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036585365853658534,0,0,0,0,0,0,0,0,0,0.04878048780487805,0,0,0,0,0,0,0,0,0,0,0,0.012195121951219513,0,0.024390243902439025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024390243902439025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024390243902439025,0,0,0,0.012195121951219513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012195121951219513,0,0.012195121951219513,0,0,0,0,0,0,0,0.036585365853658534,0,0,0,0,0,0,0.10975609756097561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012195121951219513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024390243902439025,0,0,0,0,0,0,0,0.024390243902439025,0,0,0,0,0,0,0,0,0,0,0.06097560975609756,0.012195121951219513,0,0,0,0,0,0,0,0.012195121951219513,0,0,0,0,0,0,0.06097560975609756,0,0,0.04878048780487805,0,0,0,0,0.012195121951219513,0,0,0,0,0,0,0,0,0,0,0,0.024390243902439025,0,0.012195121951219513,0,0,0,0,0,0,0,0,0,0,0,0,0.012195121951219513,0,0,0,0.06097560975609756,0.024390243902439025,0,0,0.036585365853658534,0,0.024390243902439025,0,0,0.012195121951219513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012195121951219513,0,0,0,0,0,0,0,0,0.012195121951219513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04878048780487805,0,0,0,0,0,0,0,0,0.04878048780487805,0,0,0,0,0,0,0,0,0,0,0.012195121951219513
0,0,0,0.023529411764705882,0,0,0,0,0,0,0,0,0,0,0,0,0.0058823529411764705,0.041176470588235294,0,0,0.058823529411764705,0.029411764705882353,0,0.14705882352941177,0,0,0.07058823529411765,0,0,0,0,0,0,0.0058823529411764705,0.0058823529411764705,0,0,0,0,0.0058823529411764705,0,0,0,0.011764705882352941,0,0.0058823529411764705,0,0,0,0,0,0,0,0,0,0,0.011764705882352941,0.06470588235294118,0,0,0,0,0,0,0,0.03529411764705882,0,0,0,0,0.06470588235294118,0,0,0,0.0058823529411764705,0,0,0,0,0.0058823529411764705,0,0,0,0.0058823529411764705,0,0,0,0,0,0,0,0,0,0.01764705882352941,0,0,0,0.047058823529411764,0.011764705882352941,0,0,0,0.023529411764705882,0,0,0,0,0,0,0,0.03529411764705882,0,0,0.01764705882352941,0,0.01764705882352941,0,0.023529411764705882,0.0058823529411764705,0,0.01764705882352941,0,0,0,0,0,0,0,0.0058823529411764705,0,0.0058823529411764705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047058823529411764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0058823529411764705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0058823529411764705,0,0,0,0,0,0,0,0,0,0,0,0.0058823529411764705,0,0,0,0,0.011764705882352941,0,0,0,0,0,0,0,0,0,0,0,0.0058823529411764705,0,0,0,0.01764705882352941,0,0,0,0,0,0,0,0.01764705882352941,0,0,0,0,0,0,0,0,0,0.023529411764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0058823529411764705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0058823529411764705,0,0,0,0.0058823529411764705,0,0,0,0,0,0,0,0.0058823529411764705,0,0
0,0,0,0,0,0.016666666666666666,0.016666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18333333333333332,0,0,0,0,0,0,0.016666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666666666666666,0.06666666666666667,0,0,0,0,0,0,0,0.016666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.03333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.016666666666666666,0,0,0,0.03333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666666666666666,0.016666666666666666,0,0,0,0.016666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666666666666666,0,0,0,0,0,0,0,0.03333333333333333,0,0,0,0,0,0,0,0.03333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.016666666666666666,0,0.06666666666666667,0,0.016666666666666666,0,0,0,0,0,0,0,0.016666666666666666,0.03333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03333333333333333,0,0,0,0
0.03,0,0.02,0.11,0,0.08,0.09,0,0.01,0,0,0,0.08,0,0,0.05,0.02,0,0,0.01,0,0.04,0,0.03,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.02,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0.01,0,0,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.01,0,0,0,0.05,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0594059405940594,0.0297029702970297,0.07920792079207921,0.039603960396039604,0.039603960396039604,0.019801980198019802,0.039603960396039604,0,0.019801980198019802,0,0,0.009900990099009901,0,0.0594059405940594,0,0.009900990099009901,0.15841584158415842,0.0297029702970297,0,0.019801980198019802,0,0.04950495049504951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009900990099009901,0.009900990099009901,0.009900990099009901,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019801980198019802,0.019801980198019802,0.039603960396039604,0,0,0.009900990099009901,0,0,0,0,0,0.009900990099009901,0,0,0,0,0,0,0,0,0,0.06930693069306931,0,0.009900990099009901,0,0.009900990099009901,0,0,0,0,0,0,0,0,0,0.009900990099009901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019801980198019802,0,0,0,0,0,0,0,0.019801980198019802,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009900990099009901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009900990099009901,0.009900990099009901,0,0,0,0,0.019801980198019802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009900990099009901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009900990099009901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.011235955056179775,0,0.033707865168539325,0.0449438202247191,0,0,0,0,0,0.02247191011235955,0,0.0449438202247191,0,0,0,0.033707865168539325,0,0.02247191011235955,0,0.02247191011235955,0,0,0,0.011235955056179775,0,0.011235955056179775,0,0,0,0.011235955056179775,0.011235955056179775,0.02247191011235955,0.011235955056179775,0,0.02247191011235955,0,0.011235955056179775,0,0.011235955056179775,0,0,0.02247191011235955,0,0,0,0,0,0,0.033707865168539325,0.011235955056179775,0.011235955056179775,0,0,0,0,0.02247191011235955,0,0,0,0,0.011235955056179775,0,0.02247191011235955,0,0,0,0.011235955056179775,0,0,0,0,0,0,0,0.02247191011235955,0,0,0,0,0,0,0.02247191011235955,0.11235955056179775,0,0,0.02247191011235955,0,0,0.02247191011235955,0,0,0,0,0,0,0,0,0,0.033707865168539325,0,0,0,0,0.011235955056179775,0,0,0,0,0,0,0,0.011235955056179775,0,0,0,0,0,0,0.011235955056179775,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011235955056179775,0,0,0,0,0,0,0.011235955056179775,0,0,0,0,0,0,0,0,0,0,0.011235955056179775,0,0,0,0,0,0,0,0,0.011235955056179775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011235955056179775,0,0,0,0,0,0,0,0.011235955056179775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011235955056179775,0,0,0,0,0,0.011235955056179775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011235955056179775,0,0,0,0,0,0,0.011235955056179775,0.011235955056179775,0,0,0,0,0,0.02247191011235955,0,0,0,0,0,0,0,0,0.011235955056179775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011235955056179775,0,0,0,0,0,0,0,0,0,0,0,0.011235955056179775,0.02247191011235955,0,0.011235955056179775,0,0,0,0,0,0.011235955056179775,0,0,0,0,0,0,0
0,0,0,0.05555555555555555,0,0.08333333333333333,0.009259259259259259,0.018518518518518517,0.046296296296296294,0,0.046296296296296294,0,0.018518518518518517,0.009259259259259259,0,0,0.009259259259259259,0,0,0.018518518518518517,0,0,0,0,0.018518518518518517,0,0,0,0.009259259259259259,0,0.009259259259259259,0.16666666666666666,0,0.037037037037037035,0,0,0,0.018518518518518517,0,0,0.027777777777777776,0.009259259259259259,0,0,0,0,0,0,0,0,0,0,0,0,0.018518518518518517,0.027777777777777776,0.009259259259259259,0,0,0,0,0,0,0,0,0,0.009259259259259259,0.027777777777777776,0,0,0,0,0,0,0,0,0.027777777777777776,0,0.018518518518518517,0,0,0,0,0,0.037037037037037035,0,0,0,0,0,0,0.009259259259259259,0,0,0,0,0,0,0,0,0,0.018518518518518517,0,0,0,0,0,0.018518518518518517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009259259259259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009259259259259259,0,0,0,0,0,0,0,0,0,0.009259259259259259,0,0.009259259259259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009259259259259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037037037035,0,0,0,0,0,0,0,0,0.009259259259259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009259259259259259,0,0,0,0,0,0,0,0.009259259259259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009259259259259259,0,0,0,0,0.009259259259259259,0
0.03529411764705882,0,0.023529411764705882,0.023529411764705882,0.03529411764705882,0,0.011764705882352941,0,0,0.011764705882352941,0.011764705882352941,0,0.011764705882352941,0.011764705882352941,0,0.03529411764705882,0,0,0,0,0,0,0.047058823529411764,0,0,0,0.011764705882352941,0,0,0,0.023529411764705882,0,0,0.011764705882352941,0,0,0,0.023529411764705882,0,0,0,0.011764705882352941,0,0.011764705882352941,0.011764705882352941,0,0,0,0.011764705882352941,0,0,0,0,0,0,0,0.023529411764705882,0,0,0,0,0,0,0,0,0.047058823529411764,0,0.011764705882352941,0,0,0,0,0,0,0,0.058823529411764705,0,0,0,0,0,0.011764705882352941,0,0,0,0,0,0,0,0,0,0,0,0.011764705882352941,0.011764705882352941,0,0,0.03529411764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03529411764705882,0,0,0,0.023529411764705882,0,0.011764705882352941,0.011764705882352941,0,0,0,0,0,0.011764705882352941,0,0,0.011764705882352941,0.023529411764705882,0,0,0,0,0,0,0,0,0.011764705882352941,0,0,0,0.011764705882352941,0,0,0,0.011764705882352941,0,0.03529411764705882,0,0,0.011764705882352941,0,0,0,0,0,0,0.011764705882352941,0,0.011764705882352941,0,0,0,0.011764705882352941,0,0.011764705882352941,0,0,0,0.023529411764705882,0,0,0,0,0.011764705882352941,0,0,0,0,0,0,0,0,0,0,0,0.011764705882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011764705882352941,0,0,0,0,0,0,0,0,0,0,0,0,0.011764705882352941,0,0,0,0,0,0,0,0,0,0.011764705882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011764705882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011764705882352941,0,0,0,0,0,0,0,0,0,0.011764705882352941,0,0,0,0,0,0,0,0,0,0,0.011764705882352941,0.011764705882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011764705882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
